index,score,params,iteration
176,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.020808080808080807), 'sift_edgeThreshold': np.float64(5.909090909090909), 'sift_sigma': np.float64(0.7070707070707071), 'min_match_count': 59, 'good_matches_threshold': np.float64(0.7909090909090909), 'mask_scale': 1}",176
177,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.02404040404040404), 'sift_edgeThreshold': np.float64(14.696969696969697), 'sift_sigma': np.float64(0.7878787878787878), 'min_match_count': 55, 'good_matches_threshold': np.float64(0.6181818181818182), 'mask_scale': 1}",177
178,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.04262626262626262), 'sift_edgeThreshold': np.float64(13.282828282828282), 'sift_sigma': np.float64(0.7232323232323232), 'min_match_count': 41, 'good_matches_threshold': np.float64(0.8878787878787879), 'mask_scale': 1}",178
179,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.03575757575757575), 'sift_edgeThreshold': np.float64(9.343434343434343), 'sift_sigma': np.float64(0.5494949494949495), 'min_match_count': 52, 'good_matches_threshold': np.float64(0.6848484848484848), 'mask_scale': 1}",179
220,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.045858585858585856), 'sift_edgeThreshold': np.float64(5.505050505050505), 'sift_sigma': np.float64(0.5535353535353535), 'min_match_count': 47, 'good_matches_threshold': np.float64(0.7545454545454545), 'mask_scale': 1}",220
222,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.058383838383838385), 'sift_edgeThreshold': np.float64(5.404040404040404), 'sift_sigma': np.float64(0.5696969696969697), 'min_match_count': 54, 'good_matches_threshold': np.float64(0.6060606060606061), 'mask_scale': 1}",222
141,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.05272727272727272), 'sift_edgeThreshold': np.float64(14.393939393939394), 'sift_sigma': np.float64(0.6666666666666667), 'min_match_count': 49, 'good_matches_threshold': np.float64(0.7), 'mask_scale': 1}",141
274,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.05232323232323231), 'sift_edgeThreshold': np.float64(13.181818181818182), 'sift_sigma': np.float64(0.41212121212121217), 'min_match_count': 45, 'good_matches_threshold': np.float64(0.6696969696969697), 'mask_scale': 1}",274
280,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.02727272727272727), 'sift_edgeThreshold': np.float64(7.525252525252525), 'sift_sigma': np.float64(0.7434343434343434), 'min_match_count': 55, 'good_matches_threshold': np.float64(0.896969696969697), 'mask_scale': 1}",280
279,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.04303030303030303), 'sift_edgeThreshold': np.float64(12.878787878787879), 'sift_sigma': np.float64(0.6262626262626263), 'min_match_count': 41, 'good_matches_threshold': np.float64(0.8848484848484849), 'mask_scale': 1}",279
278,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.03898989898989899), 'sift_edgeThreshold': np.float64(14.696969696969697), 'sift_sigma': np.float64(0.46464646464646464), 'min_match_count': 54, 'good_matches_threshold': np.float64(0.7303030303030302), 'mask_scale': 1}",278
277,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.026060606060606062), 'sift_edgeThreshold': np.float64(14.696969696969697), 'sift_sigma': np.float64(0.496969696969697), 'min_match_count': 49, 'good_matches_threshold': np.float64(0.7727272727272727), 'mask_scale': 1}",277
276,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.04909090909090909), 'sift_edgeThreshold': np.float64(14.595959595959595), 'sift_sigma': np.float64(0.5090909090909091), 'min_match_count': 44, 'good_matches_threshold': np.float64(0.6606060606060606), 'mask_scale': 1}",276
275,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.02404040404040404), 'sift_edgeThreshold': np.float64(7.727272727272727), 'sift_sigma': np.float64(0.7838383838383838), 'min_match_count': 52, 'good_matches_threshold': np.float64(0.609090909090909), 'mask_scale': 1}",275
273,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.03696969696969697), 'sift_edgeThreshold': np.float64(11.565656565656566), 'sift_sigma': np.float64(0.42424242424242425), 'min_match_count': 53, 'good_matches_threshold': np.float64(0.8), 'mask_scale': 1}",273
